pressure,temp,hum,co2,tvoc
1019.62,22.84,57.19,400.00,0.00
1019.66,22.71,58.12,400.00,0.00
1019.70,22.60,58.99,400.00,0.00
1019.69,22.51,59.71,400.00,0.00
1019.71,22.47,60.47,407.00,1.00
1019.70,22.48,62.06,405.00,0.00
1019.69,22.55,61.99,450.00,7.00
1019.70,22.58,61.71,506.00,16.00
1019.69,22.55,62.34,548.00,22.00
1019.69,22.50,62.97,586.00,28.00
1019.73,22.45,63.44,600.00,30.00
1019.69,22.39,63.81,592.00,29.00
1019.72,22.33,64.09,592.00,29.00
1019.72,22.27,64.31,586.00,28.00
1019.73,22.21,64.49,586.00,28.00
1019.74,22.15,64.63,586.00,28.00
1019.73,22.08,64.77,578.00,27.00
1019.77,22.01,64.89,578.00,27.00
1019.74,21.94,65.03,578.00,27.00
1019.76,21.86,65.15,578.00,27.00
1019.76,21.78,65.29,578.00,27.00
1019.75,21.71,65.40,578.00,27.00
1019.71,21.63,65.52,574.00,26.00
1019.74,21.55,65.63,574.00,26.00
1019.72,21.47,65.73,574.00,26.00
1019.77,21.41,65.85,566.00,25.00
1019.78,21.33,65.98,574.00,26.00
1019.77,21.26,66.10,566.00,25.00
1019.78,21.18,66.21,566.00,25.00
1019.78,21.11,66.33,566.00,25.00
1019.83,21.04,66.46,566.00,25.00
1019.80,20.97,66.57,566.00,25.00
1019.84,20.90,66.70,566.00,25.00
1019.82,20.84,66.83,560.00,24.00
1019.84,20.76,66.96,560.00,24.00
1019.86,20.70,67.08,566.00,25.00
1019.84,20.63,67.21,566.00,25.00
1019.88,20.57,67.34,566.00,25.00
1019.84,20.50,67.46,566.00,25.00
1019.84,20.44,67.59,566.00,25.00
1019.82,20.38,67.71,566.00,25.00
1019.81,20.33,67.86,566.00,25.00
1019.80,20.25,67.99,566.00,25.00
1019.79,20.18,68.12,566.00,25.00
1019.80,20.13,68.26,566.00,25.00
1019.82,20.08,68.39,566.00,25.00
1019.83,20.03,68.52,566.00,25.00
1019.81,19.98,68.66,566.00,25.00
1019.81,19.93,68.78,566.00,25.00
1019.84,19.87,68.93,566.00,25.00
1019.82,19.83,69.06,566.00,25.00
1019.82,19.78,69.20,566.00,25.00
1019.80,19.73,69.32,574.00,26.00
1019.79,19.68,69.45,566.00,25.00
1019.78,19.64,69.58,566.00,25.00
1019.79,19.60,69.71,566.00,25.00
1019.76,19.55,69.84,574.00,26.00
1019.79,19.52,69.98,566.00,25.00
1019.79,19.48,70.11,574.00,26.00
1019.84,19.44,70.24,566.00,25.00
1019.81,19.40,70.38,574.00,26.00
1019.81,19.36,70.52,574.00,26.00
1019.81,19.33,70.66,574.00,26.00
1019.80,19.30,70.79,566.00,25.00
1019.84,19.27,70.92,574.00,26.00
1019.80,19.22,71.06,566.00,25.00
1019.83,19.20,71.19,574.00,26.00
1019.82,19.17,71.32,574.00,26.00
1019.80,19.14,71.45,574.00,26.00
1019.81,19.10,71.57,574.00,26.00
1019.84,19.08,71.70,574.00,26.00
1019.82,19.06,71.82,578.00,27.00
1019.83,19.03,71.93,574.00,26.00
1019.84,19.01,72.05,578.00,27.00
1019.80,18.98,72.17,574.00,26.00
1019.85,18.96,72.29,578.00,27.00
1019.84,18.93,72.40,578.00,27.00
1019.83,18.90,72.51,574.00,26.00
1019.81,18.87,72.61,578.00,27.00
1019.83,18.86,72.69,578.00,27.00
1019.81,18.83,72.75,578.00,27.00
1019.86,18.81,72.83,578.00,27.00
1019.82,18.79,72.90,578.00,27.00
1019.85,18.77,72.98,578.00,27.00
1019.81,18.75,73.07,578.00,27.00
1019.83,18.74,73.17,574.00,26.00
1019.83,18.73,73.26,574.00,26.00
1019.80,18.71,73.34,574.00,26.00
1019.82,18.69,73.43,578.00,27.00
1019.84,18.68,73.52,578.00,27.00
1019.82,18.67,73.61,578.00,27.00
1019.84,18.66,73.68,578.00,27.00
1019.82,18.64,73.76,578.00,27.00
1019.82,18.62,73.83,578.00,27.00
1019.82,18.61,73.89,578.00,27.00
1019.83,18.60,73.94,578.00,27.00
1019.84,18.59,74.00,574.00,26.00
1019.83,18.57,74.06,574.00,26.00
1019.83,18.57,74.12,578.00,27.00
1019.83,18.55,74.17,578.00,27.00
1019.79,18.55,74.23,578.00,27.00
1019.82,18.53,74.27,574.00,26.00
1019.86,18.53,74.33,578.00,27.00
1019.80,18.52,74.36,574.00,26.00
1019.83,18.51,74.40,574.00,26.00
1019.83,18.50,74.45,574.00,26.00
1019.82,18.50,74.49,574.00,26.00
1019.85,18.50,74.53,574.00,26.00
1019.84,18.48,74.59,574.00,26.00
1019.86,18.48,74.62,566.00,25.00
1019.83,18.47,74.65,566.00,25.00
1019.84,18.47,74.70,574.00,26.00
1019.84,18.47,74.73,574.00,26.00
1019.86,18.46,74.75,574.00,26.00
1019.85,18.46,74.79,574.00,26.00
1019.84,18.46,74.81,566.00,25.00
1019.86,18.45,74.84,574.00,26.00
1019.88,18.45,74.88,566.00,25.00
1019.83,18.45,74.91,574.00,26.00
1019.85,18.44,74.94,566.00,25.00
1019.86,18.44,74.98,574.00,26.00
1019.88,18.44,75.00,566.00,25.00
1019.89,18.44,75.01,574.00,26.00
1019.90,18.44,75.01,566.00,25.00
1019.88,18.43,75.01,566.00,25.00
1019.91,18.44,75.01,566.00,25.00
1019.89,18.43,75.00,566.00,25.00
1019.86,18.44,75.00,566.00,25.00
1019.90,18.44,75.00,566.00,25.00
1019.88,18.44,75.00,560.00,24.00
1019.88,18.43,74.99,560.00,24.00
1019.90,18.44,74.99,560.00,24.00
1019.87,18.44,74.98,560.00,24.00
1019.89,18.44,74.98,560.00,24.00
1019.89,18.43,74.96,560.00,24.00
1019.89,18.43,74.95,560.00,24.00
1019.92,18.44,74.94,560.00,24.00
1019.92,18.44,74.93,560.00,24.00
1019.91,18.44,74.93,560.00,24.00
1019.92,18.44,74.92,560.00,24.00
1019.90,18.44,74.91,560.00,24.00
1019.93,18.44,74.89,560.00,24.00
1019.89,18.44,74.88,560.00,24.00
